Parcela;n;Especie;dap
1;1;Myrsine umbellata Mart.;12,73239545
1;2;Allophylus edulis (A.St.-Hil., Cambess. & A.Juss.) Radlk.;8,594366927
1;3;Myrsine umbellata Mart.;7,002817496
1;4;Myrsine umbellata Mart.;7,639437268
1;5;Myrsine umbellata Mart.;6,68450761
1;6;Eugenia pluriflora DC.;5,252113122
1;7;Solanum sanctaecatharinae Dunal;6,725986566
1;8;Podocarpus lambertii Klotzsch ex Endl.;17,44338176
1;9;Matayba elaeagnoides Radlk.;16,71126902
1;10;Gochnatia polymorpha (Less.) Cabrera;14,96056465
1;11;Solanum sanctaecatharinae Dunal;19,8625369
1;12;Araucaria angustifolia (Bertol.) Kuntze;4,965634224
1;13;Casearia decandra Jacq.;4,774648293
1;14;Podocarpus lambertii Klotzsch ex Endl.;7,130141451
1;15;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;5,379437077
1;16;Jacaranda puberula Cham.;9,45380362
1;17;Calyptranthes concinna DC.;5,411268065
1;18;Duranta vestita Cham.;5,315775099
1;19;Jacaranda puberula Cham.;9,230986699
1;20;Myrcia laruotteana Cambess.;15,96142382
1;21;Lithraea brasiliensis Marchand;19,79887492
1;22;Lithraea brasiliensis Marchand;16,80676199
1;23;Duranta vestita Cham.;9,421972631
1;24;Casearia decandra Jacq.;8,350464166
1;25;Jacaranda puberula Cham.;10,37690229
1;26;Ilex theezans Mart. ex Reissek;9,390141642
1;27;Ocotea pulchella Mart.;26,26056561
1;28;Casearia decandra Jacq.;8,276057041
1;29;Podocarpus lambertii Klotzsch ex Endl.;9,071831756
1;30;Casearia decandra Jacq.;6,68450761
1;31;Gochnatia polymorpha (Less.) Cabrera;33,76469773
1;32;Casearia decandra Jacq.;5,825070917
1;33;Cupania vernalis Cambess.;5,092958179
1;34;Jacaranda puberula Cham.;5,092958179
1;35;Maytenus dasyclada Mart.;11,26124415
1;36;Matayba elaeagnoides Radlk.;6,079718826
1;37;Matayba elaeagnoides Radlk.;24,82817112
1;38;Casearia decandra Jacq.;8,244226052
1;39;Lithraea brasiliensis Marchand;28,17042493
1;40;Gochnatia polymorpha (Less.) Cabrera;23,23662169
1;41;Erythroxylum deciduum A.St.-Hil.;24,35070629
1;42;Zanthoxylum kleinii (R.S.Cowan) P.G.Waterman;5,156620156
1;43;Jacaranda puberula Cham.;11,4591559
1;44;Jacaranda puberula Cham.;11,80929678
1;45;Lithraea brasiliensis Marchand;5,952394872
1;46;Ocotea pulchella Mart.;28,71155173
2;47;Podocarpus lambertii Klotzsch ex Endl.;7,543944303
2;48;Jacaranda puberula Cham.;14,96056465
2;50;Solanum sanctaecatharinae Dunal;5,411268065
2;51;Eugenia pluriflora DC.;13,05070533
2;52;Myrsine umbellata Mart.;10,56788822
2;53;Podocarpus lambertii Klotzsch ex Endl.;25,74660686
2;54;Calyptranthes concinna DC.;6,175211792
2;55;Eugenia pluriflora DC.;9,071831756
2;56;Gochnatia polymorpha (Less.) Cabrera;32,21296048
2;57;Scutia buxifolia Reissek;9,89943746
2;58;Calyptranthes concinna DC.;12,16089579
2;59;Casearia obliqua Spreng.;7,161972439
2;60;Cupania vernalis Cambess.;26,36107494
2;61;Podocarpus lambertii Klotzsch ex Endl.;8,371550007
2;62;Dasyphyllum spinescens (Less.) Cabrera;63,34366735
2;63;Cupania vernalis Cambess.;21,11601665
2;64;Podocarpus lambertii Klotzsch ex Endl.;20,53098766
2;65;Cupania vernalis Cambess.;15,40619849
2;66;Drimys brasiliensis Miers;7,957747155
2;67;Myrsine umbellata Mart.;20,37183272
2;68;Ocotea pulchella Mart.;42,97183463
2;69;Lithraea brasiliensis Marchand;27,50197417
2;70;Araucaria angustifolia (Bertol.) Kuntze;42,2397219
2;71;Eugenia pluriflora DC.;6,047887837
2;72;Jacaranda puberula Cham.;7,703099246
2;73;Eugenia pluriflora DC.;5,888732894
2;74;Casearia decandra Jacq.;6,589014644
2;75;Araucaria angustifolia (Bertol.) Kuntze;12,41408556
2;76;Jacaranda puberula Cham.;12,73239545
2;77;Jacaranda puberula Cham.;6,366197724
2;78;Calyptranthes concinna DC.;5,220282133
2;79;Jacaranda puberula Cham.;7,543944303
2;80;Jacaranda puberula Cham.;6,238873769
2;81;Lamanonia ternata Vell.;5,195866567
2;100;Jacaranda puberula Cham.;11,30000096
3;82;Drimys brasiliensis Miers;6,047887837
3;83;Duranta vestita Cham.;11,84112777
3;84;Jacaranda puberula Cham.;6,270704758
3;85;Jacaranda puberula Cham.;13,68732511
3;86;Solanum sanctaecatharinae Dunal;12,28676161
3;87;Jacaranda puberula Cham.;19,25774811
3;88;Solanum sanctaecatharinae Dunal;13,14311503
3;89;Solanum sanctaecatharinae Dunal;5,98422586
3;90;Xylosma tweediana (Clos) Eichler;6,525352667
3;91;Jacaranda puberula Cham.;10,79070514
3;92;Jacaranda puberula Cham.;8,148733086
3;93;Jacaranda puberula Cham.;20,18084678
3;94;Lithraea brasiliensis Marchand;21,8042272
3;95;Myrcia laruotteana Cambess.;4,997465213
3;96;Jacaranda puberula Cham.;9,390141642
3;97;Eugenia pluriflora DC.;6,175211792
3;98;Cinnamomum amoenum (Nees & Mart.) Kosterm.;45,32732779
3;99;Casearia decandra Jacq.;10,18591636
3;344;Myrrhinium atropurpureum Schott;15,40619849
3;345;Myrcia hatschbachii D.Legrand;7,671268257
3;346;Jacaranda puberula Cham.;19,41690306
3;347;Jacaranda puberula Cham.;11,01352206
3;348;Jacaranda puberula Cham.;8,75352187
3;349;Podocarpus lambertii Klotzsch ex Endl.;31,0352139
3;350;Lamanonia ternata Vell.;63,66197724
3;351;Banara tomentosa Clos;5,092958179
3;353;Myrcia hatschbachii D.Legrand;9,071831756
3;354;Cupania vernalis Cambess.;9,772113506
3;355;Eugenia pluriflora DC.;29,88929831
3;356;Solanum sanctaecatharinae Dunal;12,41408556
3;357;Jacaranda puberula Cham.;12,50957853
4;101;Araucaria angustifolia (Bertol.) Kuntze;11,77746579
4;102;Casearia obliqua Spreng.;22,28169203
4;103;Eugenia pluriflora DC.;5,156620156
4;104;Cupania vernalis Cambess.;14,64225476
4;105;Myrsine umbellata Mart.;5,98422586
4;106;Jacaranda puberula Cham.;12,63690248
4;107;Prunus myrtifolia (L.) Urb.;15,27887454
4;108;Solanum sanctaecatharinae Dunal;18,14366351
4;109;Podocarpus lambertii Klotzsch ex Endl.;5,092958179
4;110;Jacaranda puberula Cham.;11,30000096
4;111;Podocarpus lambertii Klotzsch ex Endl.;5,188451145
4;112;Jacaranda puberula Cham.;13,75098708
4;113;Coutarea hexandra (Jacq.) K.Schum.;14,32394488
4;114;Casearia obliqua Spreng.;29,76197436
4;115;Jacaranda puberula Cham.;11,14084602
4;116;Jacaranda puberula Cham.;17,12507188
4;117;Blepharocalyx salicifolius (Kunth) O.Berg;5,092958179
4;118;Jacaranda puberula Cham.;9,867606472
4;119;Jacaranda puberula Cham.;14,64225476
4;120;Calyptranthes concinna DC.;8,292812562
4;121;Casearia obliqua Spreng.;6,843662553
4;122;Jacaranda puberula Cham.;8,435211984
4;123;Jacaranda puberula Cham.;15,59718442
4;124;Jacaranda puberula Cham.;15,75633937
4;125;Jacaranda puberula Cham.;5,729577951
4;126;Casearia obliqua Spreng.;20,21267777
4;127;Jacaranda puberula Cham.;6,175211792
4;128;Jacaranda puberula Cham.;10,9180291
4;129;Casearia obliqua Spreng.;5,029296202
4;130;Casearia obliqua Spreng.;10,6315502
4;131;Jacaranda puberula Cham.;7,416620348
4;358;Jacaranda puberula Cham.;5,411268065
4;359;Jacaranda puberula Cham.;6,016056849
4;360;Araucaria angustifolia (Bertol.) Kuntze;19,22591713
4;361;Casearia obliqua Spreng.;15,85183233
4;362;Banara tomentosa Clos;9,62880829
4;363;Myrcia laruotteana Cambess.;9,612958563
4;364;Drimys brasiliensis Miers;5,443099054
4;365;Casearia obliqua Spreng.;7,448451337
4;366;Jacaranda puberula Cham.;5,474930042
4;367;Jacaranda puberula Cham.;17,60253671
4;368;Myrsine umbellata Mart.;24,6053542
4;369;Cupania vernalis Cambess.;21,13577644
4;370;Casearia decandra Jacq.;5,029296202
4;371;Jacaranda puberula Cham.;6,68450761
4;372;Calyptranthes concinna DC.;11,30000096
4;373;Casearia obliqua Spreng.;7,957747155
4;375;Casearia obliqua Spreng.;9,262817688
4;376;Araucaria angustifolia (Bertol.) Kuntze;5,53859202
4;377;Eugenia pluriflora DC.;9,931268449
4;378;Jacaranda puberula Cham.;7,894085177
4;379;Jacaranda puberula Cham.;12,39256058
4;380;Araucaria angustifolia (Bertol.) Kuntze;5,156620156
5;381;Casearia decandra Jacq.;9,969250174
5;382;Myrcia hatschbachii D.Legrand;6,602456062
5;383;Casearia obliqua Spreng.;20,30293142
5;384;Casearia decandra Jacq.;11,14084602
5;385;Jacaranda puberula Cham.;9,740282517
5;386;Casearia decandra Jacq.;5,220282133
5;387;Matayba elaeagnoides Radlk.;43,09915859
5;388;Jacaranda puberula Cham.;8,75352187
5;389;Jacaranda puberula Cham.;15,59718442
5;390;Casearia decandra Jacq.;9,135493733
5;391;Matayba elaeagnoides Radlk.;33,67718596
5;392;Lamanonia ternata Vell.;9,708451529
5;393;Cupania vernalis Cambess.;5,443099054
5;394;Myrcianthes gigantea (D.Legrand) D.Legrand;5,06112719
5;395;Myrcia hatschbachii D.Legrand;10,28140932
5;396;Matayba elaeagnoides Radlk.;34,05915782
5;397;Casearia decandra Jacq.;5,411268065
5;398;Jacaranda puberula Cham.;16,2338042
5;399;Jacaranda puberula Cham.;7,970215135
5;400;Jacaranda puberula Cham.;5,411268065
5;401;Jacaranda puberula Cham.;11,65014183
5;402;Solanum sanctaecatharinae Dunal;35,30056638
5;403;Jacaranda puberula Cham.;12,70056446
5;404;Araucaria angustifolia (Bertol.) Kuntze;35,01408748
5;405;Annona rugulosa (Schltdl.) H.Rainer;5,347606088
5;406;Banara tomentosa Clos;8,276057041
5;407;Lithraea brasiliensis Marchand;22,15436808
5;408;Araucaria angustifolia (Bertol.) Kuntze;5,602253997
5;409;Jacaranda puberula Cham.;13,36901522
5;410;Matayba elaeagnoides Radlk.;21,8042272
5;411;Araucaria angustifolia (Bertol.) Kuntze;21,64507226
5;412;Araucaria angustifolia (Bertol.) Kuntze;7,766761223
5;413;Araucaria angustifolia (Bertol.) Kuntze;12,06394469
5;414;Eugenia pluriflora DC.;6,047887837
5;415;Araucaria angustifolia (Bertol.) Kuntze;33,26338311
5;416;Casearia decandra Jacq.;10,60358984
5;417;Casearia decandra Jacq.;11,97492622
5;418;Myrsine umbellata Mart.;16,67943804
5;419;Banara tomentosa Clos;5,697746963
5;420;Zanthoxylum rhoifolium Lam.;16,2338042
5;421;Jacaranda puberula Cham.;5,697746963
5;422;Jacaranda puberula Cham.;16,2338042
5;423;Ocotea pulchella Mart.;7,575775291
5;424;Jacaranda puberula Cham.;7,894085177
5;425;Jacaranda puberula Cham.;10,21774735
5;426;Jacaranda puberula Cham.;16,07464925
5;427;Jacaranda puberula Cham.;12,70056446
5;428;Jacaranda puberula Cham.;11,80929678
5;429;Jacaranda puberula Cham.;14,64225476
5;430;Jacaranda puberula Cham.;7,416620348
5;431;Jacaranda puberula Cham.;8,951528254
5;432;Casearia decandra Jacq.;7,289296394
5;433;Jacaranda puberula Cham.;5,411268065
6;434;Campomanesia xanthocarpa O.Berg;18,1754945
6;435;Casearia decandra Jacq.;9,167324722
6;436;Banara tomentosa Clos;5,124789168
6;437;Podocarpus lambertii Klotzsch ex Endl.;11,48203369
6;438;Casearia decandra Jacq.;5,411268065
6;439;Blepharocalyx salicifolius (Kunth) O.Berg;11,14084602
6;440;Araucaria angustifolia (Bertol.) Kuntze;50,99324377
6;441;Casearia decandra Jacq.;6,46169069
6;442;Blepharocalyx salicifolius (Kunth) O.Berg;10,43886583
6;443;Myrcia hatschbachii D.Legrand;22,86876548
6;444;Lithraea brasiliensis Marchand;45,10451087
6;445;Drimys brasiliensis Miers;6,68450761
6;446;Drimys brasiliensis Miers;8,05324012
6;447;Casearia obliqua Spreng.;8,958769402
6;448;Casearia decandra Jacq.;5,729577951
6;449;Drimys brasiliensis Miers;4,997465213
6;450;Casearia decandra Jacq.;20,99151736
6;452;Dasyphyllum tomentosum (Spreng.) Cabrera;46,31408844
6;453;Calyptranthes concinna DC.;9,485634608
6;454;Calyptranthes concinna DC.;22,24626326
6;456;Campomanesia xanthocarpa O.Berg;21,9293566
6;457;Eugenia pluriflora DC.;6,270704758
7;458;Lithraea brasiliensis Marchand;27,02450934
7;459;Solanum sanctaecatharinae Dunal;22,60000192
7;460;Ocotea pulchella Mart.;24,95549508
7;461;Eugenia pluriflora DC.;5,570423008
7;462;Araucaria angustifolia (Bertol.) Kuntze;21,86788918
7;463;Casearia decandra Jacq.;5,506761031
7;464;Jacaranda puberula Cham.;9,740282517
7;465;Araucaria angustifolia (Bertol.) Kuntze;6,207042781
7;466;Casearia obliqua Spreng.;6,594855425
7;467;Casearia obliqua Spreng.;6,238873769
7;468;Araucaria angustifolia (Bertol.) Kuntze;6,079718826
7;469;Drimys brasiliensis Miers;5,606683264
7;470;Xylosma ciliatifolia (Clos) Eichler;13,4326772
7;471;Araucaria angustifolia (Bertol.) Kuntze;19,03493119
7;472;Casearia decandra Jacq.;13,65549412
7;473;Casearia decandra Jacq.;5,283944111
7;474;Dasyphyllum tomentosum (Spreng.) Cabrera;29,79380535
7;475;Drimys brasiliensis Miers;9,867606472
7;476;Araucaria angustifolia (Bertol.) Kuntze;7,543944303
7;477;Dasyphyllum spinescens (Less.) Cabrera;13,78281807
7;478;Jacaranda puberula Cham.;6,90732453
7;479;Dasyphyllum spinescens (Less.) Cabrera;12,95521237
7;480;Jacaranda puberula Cham.;10,0585924
7;481;Clethra scabra Pers.;6,939155519
7;482;Araucaria angustifolia (Bertol.) Kuntze;7,416620348
7;483;Araucaria angustifolia (Bertol.) Kuntze;43,3538065
7;484;Myrsine sp.;9,103662745
7;485;Casearia decandra Jacq.;7,760105172
7;486;Eugenia pluriflora DC.;11,26816997
7;487;Banara tomentosa Clos;5,06112719
7;488;Dasyphyllum tomentosum (Spreng.) Cabrera;38,83380611
7;489;Cinnamomum amoenum (Nees & Mart.) Kosterm.;10,76936949
7;491;Dasyphyllum tomentosum (Spreng.) Cabrera;15,97915629
7;492;Araucaria angustifolia (Bertol.) Kuntze;15,69267739
7;493;Araucaria angustifolia (Bertol.) Kuntze;24,09605838
7;494;Machaerium paraguariense Hassl.;23,87324146
7;495;Solanum sanctaecatharinae Dunal;7,193803428
7;496;Myrcia palustris DC.;5,220282133
7;497;Casearia decandra Jacq.;6,875493542
